"state","mean_age","total","POPESTIMATE2014","POPEST18PLUS2014","pctg"
"alabama",39,18,4849377,3741806,0.000371181700247269
"alaska",50,3,736732,550189,0.000407203705010777
"arizona",37,45,6731484,5109792,0.000668500437644953
"arkansas",35,6,2966369,2259350,0.000202267485939881
"california",36,164,38802500,29649348,0.000422653179563173
"colorado",31,21,5355866,4109494,0.000392093454167823
"connecticut",28,4,3596677,2821247,0.000111213767597146
"delaware",42,4,935614,731367,0.000427526736453281
"florida",38,88,19893297,15839713,0.000442360057259488
"georgia",34,28,10097343,7604061,0.00027730067206789
"hawaii",48,3,1419561,1111117,0.000211332940254064
"idaho",28,4,1634464,1203384,0.000244728547095562
"illinois",34,34,12880580,9892106,0.000263963268734793
"indiana",39,11,6596855,5014928,0.000166746123721076
"iowa",39,6,3107126,2381172,0.000193104495923242
"kansas",38,16,2904021,2181355,0.000550960203111479
"kentucky",39,18,4413457,3400843,0.000407843556649583
"louisiana",35,25,4649676,3536183,0.000537671872190665
"maine",51,6,1330089,1071112,0.000451097633316267
"maryland",34,22,5976407,4625863,0.000368114152868103
"massachusetts",35,6,6745408,5354940,8.8949400836836e-05
"michigan",43,21,9909877,7686087,0.000211909794642254
"minnesota",43,10,5457173,4175347,0.000183245061133301
"mississippi",35,19,2994079,2262810,0.000634585794162412
"missouri",35,25,6063589,4670966,0.000412297073564847
"montana",46,5,1023579,798555,0.000488482081011822
"nebraska",41,6,1881503,1414894,0.000318893990602194
"nevada",37,24,2839099,2175874,0.00084533860918552
"new hampshire",34,1,1326813,1059672,7.53685711550912e-05
"new jersey",29,16,8938175,6926094,0.00017900745957648
"new mexico",33,18,2085572,1583623,0.000863072576731947
"new york",40,27,19746227,15517321,0.000136734982333587
"north carolina",38,28,9943964,7656415,0.000281577849638233
"north dakota",31,1,739482,570955,0.00013522979599233
"ohio",35,29,11594163,8955859,0.000250125860745618
"oklahoma",36,29,3878051,2925352,0.000747798314153166
"oregon",42,14,3970239,3112217,0.000352623607797918
"pennsylvania",41,16,12787209,10086316,0.000125125037058517
"rhode island",NA,1,1055173,842321,9.47711891794047e-05
"south carolina",39,19,4832482,3747734,0.000393172700901938
"south dakota",39,3,853175,642768,0.000351627743428957
"tennessee",36,24,6549352,5054826,0.000366448466962838
"texas",38,107,26956958,19841344,0.000396929060022277
"utah",31,14,2942902,2038787,0.000475720904060006
"vermont",35,1,626562,504976,0.000159601124868728
"virginia",46,12,8326289,6457174,0.000144121829064545
"washington",34,35,7061530,5458809,0.000495643295433143
"west virginia",34,7,1850326,1470179,0.000378311713719636
"wisconsin",31,10,5757564,4457375,0.000173684565208481
"wyoming",40,3,584153,445830,0.000513564083382265
